Year,Month,Tourist_Arrivals
2022,1,82327
2022,2,96507
2022,3,106500
2022,4,62980
2022,5,30207
2022,6,32856
2022,7,47293
2022,8,37760
2022,9,29802
2022,10,42026
2022,11,
2022,12,
